PlotYear,DaysToAnthesis,DaysToSilking,ASI,Moisture,KernelDryWt,TestWeight,EarHeight,EarHt2,FlagHeight,FlagHeight2,RootLodging,StalkLodging,StandCount,StandCount2,AdjustedYield15.5,EarLeaf,TotalLeaves,LeafExpansionRate,R2LeafN,R2LeafS,R2LeafP,R2LeafK,R2LeafMg,R2LeafCa,R2LeafFe,R2LeafMn,R2LeafCu,R2LeafZn,GrainN,GrainS,GrainCu,GrainFe,GrainMn,GrainK,GrainZn,GrainMg,GrainP
8820_2021,72,76,-4,0.171,,56.2,78.5,,199,,0,1,35,,147.2066939,12,17.5,0.011666667,,,,,,,,,,,,,,,,,,,
8821_2021,72,74,-2,0.181,,55.8,103.5,,228,,0,1,84,,149.7284625,13,19.5,0.013333333,,,,,,,,,,,,,,,,,,,
8824_2021,67,68,-1,0.15,,55.2,92.5,,203.5,,1,1,82,,122.9360286,13,18.5,0.016666667,,,,,,,,,,,1.35,0.09,2.3,22.1,4.9,0.33,17.9,0.1,0.27
8825_2021,69,72,-3,0.166,,56.9,87,,204.5,,0,0,81,,133.2706363,12.5,18.5,0.013333333,,,,,,,,,,,,,,,,,,,
8826_2021,69,73,-4,0.145,,58.3,93,,203,,0,1,87,,104.0745085,12.5,18,0.013333333,,,,,,,,,,,,,,,,,,,
8827_2021,73,76,-3,0.168,,55.7,106,,232.5,,0,0,80,,159.0033224,12.5,18.5,0.011666667,,,,,,,,,,,,,,,,,,,
8828_2021,76,77,-1,0.146,,55.8,111,,231,,0,0,78,,128.9745731,14,19.5,0.011666667,,,,,,,,,,,,,,,,,,,
8829_2021,73,75,-2,0.169,,57,86,,197,,0,0,60,,151.957051,13,19,0.013333333,,,,,,,,,,,1.25,0.07,2.3,24,5.3,0.37,20,0.12,0.32
8830_2021,68,68,0,0.141,,57.4,95.5,,216,,2,2,85,,109.5196486,12,18,0.016666667,,,,,,,,,,,,,,,,,,,
8831_2021,72,74,-2,0.151,,57.1,106,,214.5,,0,1,79,,115.408144,13,18.5,0.013333333,,,,,,,,,,,,,,,,,,,
8832_2021,77,78,-1,0.137,,49.9,129.5,,256.5,,0,1,84,,130.402524,14,20.5,0.011666667,,,,,,,,,,,1.12,0.08,1.8,14.6,4.2,0.36,20.2,0.11,0.28
8837_2021,74,78,-4,0.175,,55.2,115.5,,242.5,,1,0,85,,145.835877,13,19,0.013333333,,,,,,,,,,,,,,,,,,,
8838_2021,73,76,-3,0.198,,51.3,122,,249.5,,2,0,72,,159.481997,13,18.5,0.011666667,,,,,,,,,,,1.18,0.09,2.3,18.3,5.2,0.36,18.8,0.1,0.25
8839_2021,73,74,-1,0.147,,54.7,106,,228,,3,4,86,,107.2062807,11.5,17,0.013333333,,,,,,,,,,,,,,,,,,,
8840_2021,74,76,-2,0.136,,55.7,110.5,,242.5,,3,1,81,,110.0792231,12.5,20,0.013333333,,,,,,,,,,,,,,,,,,,
8841_2021,74,78,-4,0.157,,55.2,120.5,,233,,3,1,82,,108.376546,14,20,0.011666667,,,,,,,,,,,1.07,0.08,1.8,18.9,4.5,0.37,19.6,0.09,0.27
8843_2021,73,74,-1,0.157,,60.7,87.5,,196,,0,0,86,,104.7163825,13,18.5,0.013333333,,,,,,,,,,,,,,,,,,,
8844_2021,72,74,-2,0.156,,53,122,,257.5,,0,0,85,,127.1352286,14,20.5,0.016666667,,,,,,,,,,,,,,,,,,,
8901_2021,77,78,-1,0.156,,56,94,,221,,0,0,85,,86.90096482,13.5,19.5,0.011666667,,,,,,,,,,,,,,,,,,,
8902_2021,76,78,-2,0.17,,58.8,113.5,,217.5,,0,0,72,,106.4330515,13,14,0.01,,,,,,,,,,,,,,,,,,,
8904_2021,79,85,-6,0.166,,56.2,128,,232.5,,1,0,69,,131.6396009,13.5,19,0.013333333,,,,,,,,,,,,,,,,,,,
8905_2021,71,74,-3,0.152,,56.3,96.5,,200,,0,1,80,,93.52814466,13.5,19,0.013333333,,,,,,,,,,,,,,,,,,,
8906_2021,75,76,-1,0.141,,54,102.5,,215,,1,1,74,,84.66569469,14,20,0.013333333,,,,,,,,,,,,,,,,,,,
8907_2021,69,71,-2,0.136,,57.4,94,,193.5,,0,1,81,,93.46665749,12,17.5,0.016666667,,,,,,,,,,,1.09,0.1,2.3,28.7,6.3,0.4,27.6,0.12,0.33
8909_2021,74,76,-2,0.145,,58.5,108.5,,205,,0,2,86,,77.78902369,13,18.5,0.011666667,,,,,,,,,,,0.93,0.09,1.6,18.5,5.4,0.39,22.4,0.09,0.27
8910_2021,75,80,-5,0.163,,52.4,118.5,,224.5,,0,0,86,,81.47396228,12,17.5,0.006666667,,,,,,,,,,,0.97,0.09,1.7,20,6.8,0.41,23.6,0.1,0.28
8913_2021,75,78,-3,0.166,,53.3,129.5,,242,,1,0,87,,79.81113888,13.5,19.5,0.011666667,,,,,,,,,,,,,,,,,,,
8914_2021,74,76,-2,0.148,,52.8,108.5,,244.5,,0,1,85,,82.30578068,14,21.5,0.013333333,,,,,,,,,,,,,,,,,,,
8915_2021,73,75,-2,0.133,,55.6,95.5,,218,,0,0,76,,65.70444291,12,18,0.011666667,,,,,,,,,,,,,,,,,,,
8916_2021,75,78,-3,0.128,,56,92.5,,208,,0,0,83,,69.0645655,12.5,18.5,0.013333333,,,,,,,,,,,,,,,,,,,
8917_2021,78,80,-2,0.158,,52.9,102.5,,225.5,,0,0,78,,81.1859891,13.5,20,0.01,,,,,,,,,,,0.87,0.1,1.7,25.5,7,0.45,26.5,0.12,0.32
8920_2021,74,76,-2,0.159,,55.8,75,,181,,0,0,86,,73.53283462,12.5,18.5,0.013333333,,,,,,,,,,,1.01,0.1,1.7,22.5,4.8,0.42,22.3,0.11,0.33
8921_2021,75,77,-2,0.155,,55.8,102.5,,123,,1,9,84,,67.16597695,11.5,17.5,0.013333333,,,,,,,,,,,,,,,,,,,
8922_2021,77,78,-1,0.144,,60.2,79,,188,,0,0,84,,56.7605518,12.5,18,0.01,,,,,,,,,,,,,,,,,,,
8924_2021,69,70,-1,0.165,,58.8,61.5,,214.5,,1,3,82,,66.13407364,13,18.5,0.013333333,,,,,,,,,,,,,,,,,,,
8925_2021,74,76,-2,0.144,,51.4,99,,245.5,,0,0,88,,70.17155123,14,21,0.013333333,,,,,,,,,,,,,,,,,,,
8926_2021,73,74,-1,0.158,,52.7,114,,241,,0,3,78,,70.86443065,14.5,21,0.013333333,,,,,,,,,,,0.9,0.09,1.4,19.4,6.9,0.45,26.5,0.12,0.31
8928_2021,73,76,-3,0.145,,52,112,,235.5,,0,0,87,,69.28084923,14,21,0.011666667,,,,,,,,,,,,,,,,,,,
8929_2021,70,74,-4,0.166,,56.8,111.5,,214.5,,0,0,81,,87.91810313,13.5,19,0.015,,,,,,,,,,,,,,,,,,,
8931_2021,70,71,-1,0.13,,55.7,112,,240.5,,0,3,87,,72.74115335,13,20.5,0.013333333,,,,,,,,,,,,,,,,,,,
8933_2021,73,75,-2,0.158,,54.8,89,,190,,0,0,81,,92.00091099,13,18.5,0.011666667,,,,,,,,,,,1.07,0.1,2.2,20.5,7.3,0.4,20.4,0.1,0.3
8934_2021,73,76,-3,0.19,,48.1,119,,230,,2,2,78,,78.42527819,13.5,19,0.013333333,,,,,,,,,,,1.06,0.08,1.9,18.9,5.8,0.4,21.5,0.11,0.28
8935_2021,74,76,-2,,,,117,,225,,0,0,77,,,13,19,0.011666667,,,,,,,,,,,0.94,0.1,1.6,19.1,5.2,0.41,23.5,0.11,0.3
8936_2021,67,69,-2,0.129,,55.4,91.5,,203,,3,0,84,,69.73249693,12,18,0.018333333,,,,,,,,,,,1.25,0.1,2.2,28.9,5.5,0.38,20.6,0.11,0.32
8937_2021,69,70,-1,0.147,,52,84,,204,,2,1,66,,94.58360566,12,18,0.013333333,,,,,,,,,,,,,,,,,,,
8938_2021,72,74,-2,0.158,,60.1,91,,187.5,,0,0,85,,83.8876859,12.5,17.5,0.011666667,,,,,,,,,,,,,,,,,,,
8939_2021,70,71,-1,0.157,,51,107,,219.5,,1,1,80,,87.976255,13,19,0.011666667,,,,,,,,,,,,,,,,,,,
8940_2021,70,75,-5,0.122,,55.5,90,,205,,2,0,85,,49.11638545,11,17.5,0.011666667,,,,,,,,,,,,,,,,,,,
8941_2021,77,81,-4,,,,117.5,,228,,0,0,86,,,13.5,19.5,0.01,,,,,,,,,,,,,,,,,,,
8944_2021,81,85,-4,,,,114.5,,236,,0,0,85,,,13,19,0.01,,,,,,,,,,,,,,,,,,,
7602_2022,66,67,-1,0.094,,60.6,88.5,,185,,0,1,69,,156.3877118,12.5,18,0.01149109,2.7,0.166,0.27,1.627,0.189,0.358,84,67,8,29,1.26,0.09,2.1,22.6,4.6,0.36,16.3,0.1,0.26
7603_2022,66,67,-1,0.102,,60,103,,212,,0,0,41,,147.2719787,14.5,21,0.01149109,2.46,0.147,0.238,1.569,0.126,0.295,71,54,6,25,,,,,,,,,
7604_2022,63,65,-2,0.097,,60.2,109.5,,236.5,,0,0,68,,159.2669314,13.5,20.5,0.012941235,3.27,0.197,0.296,1.736,0.178,0.363,89,54,10,33,1.24,0.08,2,18,3.9,0.31,15.4,0.1,0.22
7605_2022,64,65,-1,0.105,,59.7,114,,236,,0,0,67,,202.354889,14,20.5,0.012941235,2.94,0.175,0.256,1.366,0.177,0.47,84,53,8,33,,,,,,,,,
7607_2022,62,65,-3,0.093,,58.3,92.5,,218,,0,0,67,,184.8294161,11,18,0.014391379,3.23,0.216,0.328,1.681,0.215,0.671,104,58,10,26,,,,,,,,,
7609_2022,62,64,-2,0.1,,58.8,83.5,,198,,0,0,83,,166.5569818,11.5,17.5,0.014391379,3.29,0.22,0.314,1.223,0.212,0.651,112,51,9,25,1.39,0.1,2.6,21.5,5.7,0.34,16.6,0.11,0.26
7610_2022,64,65,-1,0.105,,58.5,111.5,,219.5,,0,0,52,,214.7986705,13,18.5,0.012941235,3.26,0.209,0.311,1.55,0.227,0.558,98,80,11,45,1.31,0.09,1.9,20.6,4.9,0.34,15.5,0.1,0.23
7611_2022,63,65,-2,0.101,,63.1,97,,197.5,,0,0,67,,153.3211565,13,18.5,0.012941235,3.08,0.187,0.285,1.554,0.19,0.403,89,66,9,32,,,,,,,,,
7612_2022,65,67,-2,0.102,,59.7,92,,201,,0,0,59,,192.5344939,13,19,0.012941235,2.86,0.174,0.282,1.632,0.237,0.393,82,70,9,33,1.21,0.09,2.1,24.1,4.5,0.36,17.6,0.1,0.24
7615_2022,67,69,-2,0.11,,56.3,98.5,,214,,0,0,63,,193.8139942,13,19,0.01149109,2.75,0.163,0.282,1.804,0.171,0.338,84,68,8,31,,,,,,,,,
7616_2022,66,67,-1,0.111,,57.6,98.5,,230.5,,0,0,84,,204.0989213,13.5,20.5,0.012941235,2.68,0.172,0.263,1.38,0.156,0.404,83,35,7,24,,,,,,,,,
7617_2022,63,64,-1,0.104,,62.7,86,,194,,0,0,49,,153.633302,12.5,18,0.011518607,3.07,0.198,0.318,1.524,0.204,0.437,88,63,10,48,,,,,,,,,
7618_2022,62,64,-2,0.104,,61.8,87.5,,189,,1,1,67,,181.7830537,11,16.5,0.008645834,3.58,0.225,0.322,1.588,0.191,0.636,105,55,10,32,,,,,,,,,
